substance_name,cas_rn,mean_concentration_ng_g
10:2 FTOH,865-86-1,1488.034
5:3 FTCA,"914637-49-3

1799325-94-2",16.65
6:2 FTCA,53826-12-3,87.214
6:2 FTOH,647-42-7,2691.991
6:2 FTS,"27619-97-2

425670-75-3",2980000
6:2 FTUCA,70887-88-6,74.235
8:2 FTCA,27854-31-5,5.15
8:2 FTOH,678-39-7,1496.725
8:2 FTS,"39108-34-4

481071-78-7

149724-40-3

27619-96-1",8590000
8:2 FTUCA,70887-84-2,10.4
8:2 PAP,n/a,16
9Cl-PF3ONS,1621485-21-9,0.004
diSamPAP,n/a,1.252
N-EtFOSAA,2991-50-6,14763.333
N-MeFOSAA,2355-31-9,1720
PFBA,"375-22-4

45048-62-2

2218-54-4",2727.82
PFBS,"375-73-5

45187-15-3

68259-10-9",0.527
PFDA,"3830-45-3

73829-36-4

335-76-2",1308256.021
PFDoDA,"307-55-1

307-67-5",1326002.723
PFDS,"335-77-3

126105-34-8",2000
PFHpA,"20109-59-5

21049-36-5

375-85-9

6130-43-4",21312.449
PFHxA,"21615-47-4

307-24-4

92612-52-7",86302.378
PFHxDA,67905-19-5,0.375
PFHxS,"108427-53-8

355-46-4

3871-99-6",4.131
PFNA,"375-95-1

72007-68-2",24762.373
PFOA,"335-67-1

335-95-5

45285-51-6",171258.565
PFODA,16517-11-6,0.418
PFOS,"45298-90-6

1763-23-1

2795-39-3",2004.062
PFOSA,1763-23-1,35200
PFPeA,"45167-47-3

68259-11-0

2706-90-3",11160.885
PFTeDA,"365971-87-5

376-06-7",929701.726
PFTrDA,"72629-94-8

862374-87-6",16515.332
PFUnDA,"2058-94-8

60871-96-7",23862.722
